,BASIN_ID,NAME,R
0,1060040280,,-0.2528754675072935
1,1060040270,,-0.27215081798024143
2,4060018280,,-0.2638975891428771
3,7060024290,,-0.21888839779211366
4,3060002680,Tas,-0.09122604801345119
5,4060015000,Red_River,-0.2865645333072635
6,6060004870,,-0.00568843676039108
7,1060010030,Niassa,-0.11502410369539395
8,1060040260,Lake_Turkana,-0.32313484835331735
9,6060040460,Rio_Primero,0.033180108706822406
10,6060040470,Rio_Desagudero,-0.3167617399921825
11,2060085540,,-0.5297145169594727
12,1060019420,,-0.285133466253457
13,1060040240,Cuvelai,0.08499365562106657
14,3060024310,Kolyma,-0.1583367221580766
15,3060005440,Pjassina,-0.04132657190598552
16,3060012400,,0.1673859766017222
17,2060023010,Rhine,-0.035572275443987646
18,1060009450,,0.01647789817699362
19,4060050250,,0.20853157347129597
20,4060006570,Liao,0.12350255714312047
21,2060070050,Kura,-0.08274093314436937
22,2060026550,Vistula,-0.012022096551907701
23,1060040250,,-0.16802900784382443
24,9060000590,East_Greenland,-0.12248989520769034
25,4060007410,Hai_River,-0.07493181543410321
26,1060020570,Ogooue,0.015026596889286462
27,2060067740,Ural,-0.14100757957692978
28,2060085520,Rub_al_Khali,-0.3638136642909905
29,1060040230,North-West_Chad,-0.23027126570845038
30,3060008610,Olenyok,-0.2747216399210826
31,2060085530,Helmand,-0.1952200307252553
32,3060009670,Jana,-0.14922257145606121
33,2060085510,Ad_Dwaser,-0.3175814603814044
34,7060016260,Fraser_Lower_Mainland,-0.15577775761373722
35,8060018120,Thelon,-0.1194132914326411
36,6060000740,Magdalena,-0.3278229517126246
37,4060027940,Krishna,-0.05241869232474716
38,6060016760,Rio_Uruguay,-0.3376220167763575
39,7060008710,Colorado,0.0458891689164854
40,2060085500,Murghab,-0.3030829469178929
41,2060028310,Newa,0.11373856373942078
42,3060007880,Chatanga,-0.0446067943385128
43,7060021740,Churchill,-0.3127523724399974
44,4060027780,Godavari,-0.1618300753566529
45,2060043720,Pechora,0.046173273958617575
46,4060033430,Luni,-0.3139567589577151
47,6060009760,Parnaiba,-0.14952301445579677
48,4060023060,Saluen,-0.47475237662682074
49,4060050240,Syr_Darya,-0.3720189089662721
50,1060040220,Cyrenaica,-0.29181284200668284
51,3060010470,Indigirka,-0.23233859702974183
52,2060041840,Dwina,0.0013945161611500089
53,4060023810,Irrawaddy,-0.3734017195843778
54,6060018850,Bermejo_Desaguadero,-0.38500036260276577
55,1060012590,Limpopo,-0.05383851000524287
56,1060023300,Volta,-0.12834412190009697
57,4060012990,Pearl_River,-0.2849485184441763
58,4060050230,Lake_Balkhash,-0.07628078036021856
59,2060006590,Don,0.029359233331453377
60,1060040210,North-East_Chad,0.24514710063139522
61,1060027410,Senegal,-0.07006428741654237
62,2060007930,Dnieper,0.013891696003921572
63,7060049270,Rio_Grande,-0.274540693211091
64,6060011780,Sao_Francesco,-0.19928499115526474
65,4060050220,Amu_Darya,-0.20929051502947577
66,7060014930,Columbia,0.058352045004674946
67,3060010910,,-0.13567251249500606
68,1060040200,Okavango,-0.16399878291850287
69,1060008100,Juba,0.00398721727609239
70,6060007950,Rio_Tocantins,-0.27102908857239866
71,2060008490,Danube,-0.30396654905578285
72,4060017020,Mekong,-0.576678551271942
73,4060007850,Yellow_River,-0.28988749136346603
74,5060087590,Lake_Eyre,-0.01058617788880645
75,8060005510,Yukon,-0.28759460567964035
76,2060073570,Tigris_Euphrates,-0.17922647065840291
77,4060033640,Indus,-0.12213769144684684
78,5060073410,Murray_Darling,-0.08373196294361937
79,6060004470,Orinoco,-0.1590066164542856
80,4060050210,Tarim,-0.21471539964861916
81,1060015850,Orange,-0.03358088087825737
82,1060040190,South_Chad,0.06174842693539914
83,7060034520,Great_Lakes,-0.15047564185820722
84,7060022240,Souris_Red_Rainy,0.007194176227839347
85,1060011660,Zambesi,-0.11780937993757565
86,2060068680,Volga,-0.04975811817147203
87,4060025450,Ganga,-0.17381859826723325
88,8060009560,Mckenzie,-0.12425737406716107
89,4060009880,Yangtze,-0.33375585350675757
90,4060000880,Heilongjiang,-0.16876990420319757
91,1060022420,Niger,0.014022827106380633
92,3060009130,Lena,-0.06425316788612284
93,3060004740,Yenisei,-0.19724543737327183
94,6060016970,Rio_de_la_Plata,-0.028045762040073655
95,3060001840,Ob,-0.08506982467607671
96,1060034260,Nile,-0.30835313390410557
97,7060047060,Mississippi,-0.08104571074166383
98,1060020040,Kongo,0.03229580788378232
99,6060007000,Amazon,-0.0628583909842545
